Cluster Index	Voxels	P	-log10(P)	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	529	2.29e-26	25.6	5.75	12.3	-82.8	47.4	28.9	-58.9	44.2	385	35.2	-72.9	54	158
10	233	1.79e-14	13.7	6.27	5.71	-89.3	-15.3	7.46	-80.9	-1.21	298	2.43	-79.5	-8.7	146
9	101	1.79e-07	6.75	3.82	-33.7	-43.4	-45	-33.2	-58.4	-40.9	219	-30.4	-43.4	-45	125
8	79	4.47e-06	5.35	4.82	-17.3	-13.9	11.1	-17.9	-3.73	9.72	275	-7.41	9.08	4.5	130
7	75	8.34e-06	5.08	4.04	-43.5	-30.3	44.1	-35.7	-19.9	53.3	269	-27.1	-10.6	67.2	146
6	64	4.93e-05	4.31	4.01	32	-69.7	-45	14.1	-65.5	-46.7	265	-4.13	-63.1	-48.3	125
5	44	0.00166	2.78	5.23	51.6	35.3	30.9	44.4	36.8	32.3	391	38.5	45.2	37.5	207
4	42	0.00242	2.62	4.58	61.5	-43.4	-8.7	60	-42.9	-6.07	205	61.5	-46.7	-8.7	123
3	42	0.00242	2.62	4.57	28.7	-7.32	50.7	25.1	-3.65	52.5	300	32	-4.04	50.7	156
2	40	0.00355	2.45	4.45	2.43	25.5	54	5.42	23.2	49.5	242	5.71	18.9	47.4	155
1	39	0.00431	2.37	3.9	38.5	-4.04	44.1	38.5	3.41	38.8	233	38.5	2.52	37.5	147
