Cluster Index	Voxels	P	-log10(P)	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	283	6.21e-15	14.2	6.32	25.4	-56.5	-25.2	28.7	-61.6	-15.1	515	45.1	-82.8	-12	195
9	91	4.71e-06	5.33	4.82	38.5	12.4	60.6	32	10.1	56.2	435	48.4	18.9	50.7	206
8	87	8.11e-06	5.09	4.58	-50.1	-76.2	-8.7	-36.7	-89.2	-5.59	615	-50.1	-79.5	-5.4	323
7	81	1.83e-05	4.74	4.2	38.5	28.8	21	45.1	30.6	32.7	640	48.4	32	37.5	289
6	70	8.63e-05	4.06	4.5	-0.851	15.6	50.7	2.02	26.6	45.9	367	-0.851	12.4	54	210
5	55	0.000823	3.08	4.97	-33.7	-56.5	-21.9	-33.5	-58.9	-24.2	393	-33.7	-56.5	-21.9	197
4	53	0.00113	2.95	4.51	-50.1	-33.6	50.7	-47.4	-32.9	48.4	450	-50.1	-40.1	57.3	228
3	53	0.00113	2.95	3.87	51.6	-43.4	44.1	44.2	-40.7	41.7	278	51.6	-43.4	47.4	169
2	51	0.00155	2.81	3.84	25.4	64.9	-5.4	24.7	62.4	7.45	419	28.7	64.9	17.7	239
1	48	0.00253	2.6	4.25	8.99	35.3	17.7	3.9	45.3	22.7	360	2.43	48.5	24.3	200
